name_measure,split_0.1,split_0.2,split_0.3,split_0.4,split_0.5,split_0.6,split_0.7,split_0.8,split_0.9
accuracy_score,0.7214022140221401,0.7243542435424355,0.7248462484624847,0.7233394833948339,0.7146233382570161,0.7083076923076923,0.6988396624472574,0.681725888324873,0.6338802296964725
precision_macro,0.724324373201796,0.7196392269254146,0.7189353062732331,0.7194275699271043,0.7039033717174522,0.7046765644964078,0.6984659532468098,0.6876780772810909,0.6510613698331599
precision_micro,0.7214022140221401,0.7243542435424355,0.7248462484624847,0.7233394833948339,0.7146233382570161,0.7083076923076923,0.6988396624472574,0.681725888324873,0.6338802296964725
precision_weighted,0.724554109824596,0.7253279791302966,0.7252799282050215,0.7239176497095192,0.7135978299553466,0.7087982314243496,0.7014067191412076,0.6848081797022336,0.6418535837028312
recall_macro,0.6877645637305326,0.689540383233752,0.6912378152879046,0.6832328539546937,0.6779379416915,0.667241392142066,0.6564228718569226,0.6306747126154301,0.5672698394391127
recall_micro,0.7214022140221401,0.7243542435424355,0.7248462484624847,0.7233394833948339,0.7146233382570161,0.7083076923076923,0.6988396624472574,0.681725888324873,0.6338802296964725
recall_weighted,0.7214022140221401,0.7243542435424355,0.7248462484624847,0.7233394833948339,0.7146233382570161,0.7083076923076923,0.6988396624472574,0.681725888324873,0.6338802296964725
f1_macro,0.6998528154930257,0.7006115640680384,0.7012528780296406,0.696632786145029,0.6878606916931359,0.6817361532037862,0.671457945582332,0.6489957884566286,0.5882952454017587
f1_micro,0.7214022140221401,0.7243542435424355,0.7248462484624847,0.7233394833948339,0.7146233382570161,0.7083076923076923,0.6988396624472574,0.681725888324873,0.6338802296964725
f1_weighted,0.717587872963899,0.7217448106923461,0.7217469142937245,0.7200762311767661,0.7118536667875823,0.7049642329518921,0.695700290997397,0.6764830242088585,0.622906830692921
